SibeliusInstrumentName,InstrumentTypeIdentifier,HumdrumInstrumentCode,Notes
"6-string Hawaiian Steel Guitar, slack key Bb Mauna Loa tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab.bflat.mauna.loa,*Iguitr,
"6-string Hawaiian Steel Guitar, slack key C Mauna Loa tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab.c.mauna.loa,*Iguitr,
"6-string Hawaiian Steel Guitar, slack key Wahine CGDGBD tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab.cgdgbd.wahine,*Iguitr,
"6-string Hawaiian Steel Guitar, slack key Wahine CGDGBE tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab.cgdgbe.wahine,*Iguitr,
"6-string Hawaiian Steel Guitar, slack key Wahine DGDF#BD tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab.dgdfbd.wahine,*Iguitr,
"6-string Hawaiian Steel Guitar, slack key G Mauna Loa tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab.g.mauna.loa,*Iguitr,
"6-string Hawaiian Steel Guitar, slack key G Taro Patch tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab.g.taro.patch,*Iguitr,
"6-string Hawaiian Steel Guitar, slack key Wahine GCDGBE tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab.gcdgbe.wahine,*Iguitr,
8-string Hawaiian Steel Guitar [tab],instrument.fretted.guitar.steel.hawaiian.8-string.tab,*Iguitr,
"8-string Hawaiian Steel Guitar, alternate tuning [tab]",instrument.fretted.guitar.steel.hawaiian.8-string.tab.alternative,*Iguitr,
Hawaiian Steel Guitar [tab],instrument.fretted.guitar.steel.hawaiian.tab,*Iguitr,
Pedal Steel Guitar [notation],instrument.fretted.guitar.steel.pedal.5lines,*Iguitr,
Pedal Steel Guitar [tab],instrument.fretted.guitar.steel.pedal.tab,*Iguitr,
Guitarra [notation],instrument.fretted.guitarra.5lines,*Iguitr,
"Guitarra, Coimbra [tab]",instrument.fretted.guitarra.coimbra.tab,*Iguitr,
"Guitarra, Lisboa [tab]",instrument.fretted.guitarra.lisboa.tab,*Iguitr,
"Guitarra, Portuguesa [tab]",instrument.fretted.guitarra.portuguesa.tab,*Iguitr,
Guitarrón [notation],instrument.fretted.guitarron.5lines,,
Guitarrón [tab],instrument.fretted.guitarron.tab,,
Laúd [notation],instrument.fretted.laud.5lines,,
Laúd [tab],instrument.fretted.laud.tab,,
Tenor Lute [notation],instrument.fretted.lute.5lines,*Iliuto,
Bass Lute [notation],instrument.fretted.lute.bass-d.french.english.5lines,*Iliuto,
